MUNICIPALITY,DISTRICT,LOCATIVE OF MUNICIPALITY,GPS
Krašovice,Plzeň-sever,Krašovicích,"49.87244260,13.30530025"
Ledce,Plzeň-sever,Ledcích,"49.82173169,13.32848279"
Líšťany,Plzeň-sever,Líšťanech,"49.83117939,13.18115348"
Mladotice,Plzeň-sever,Mladoticích,"49.98534022,13.36446134"
Dolní Bečva,Vsetín,Dolní Bečvě,"49.45496614,18.19421175"
Kejnice,Klatovy,Kejnicích,"49.26698266,13.69421544"
Jesenice,Rakovník,Jesenici,"50.09712763,13.46955696"
Javor,Klatovy,Javoru,"49.32518161,13.24717797"
Kroučová,Rakovník,Kroučové,"50.20685961,13.78402419"
Lašovice,Rakovník,Lašovicích,"50.05504557,13.78227053"
Mlýnské Struhadlo,Klatovy,Mlýnském Struhadle,"49.43159340,13.47000564"
Hnačov,Klatovy,Hnačově,"49.36191931,13.48170550"
Mšec,Rakovník,Mšeci,"50.20527366,13.89840066"
Nesuchyně,Rakovník,Nesuchyni,"50.17965237,13.68797612"
Olešná,Rakovník,Olešné,"50.12858400,13.69592558"
Oráčov,Rakovník,Oráčově,"50.11163640,13.54896615"
Pustověty,Rakovník,Pustovětech,"50.05569250,13.81407641"
Senec,Rakovník,Senci,"50.06682832,13.70694006"
Černouček,Litoměřice,Černoučku,"50.36089824,14.30742382"
Srbeč,Rakovník,Srbči,"50.22469547,13.88342769"
Oleško,Litoměřice,Olešku,"50.48062780,14.19659810"
Sýkořice,Rakovník,Sýkořici,"50.03467152,13.93179087"
Třeboc,Rakovník,Třeboci,"50.21440233,13.75280734"
Opočno,Louny,Opočně,"50.31157089,13.73531580"
Velká Buková,Rakovník,Velké Bukové,"50.03464403,13.84725295"
Hlína,Brno-venkov,Hlíně,"49.11364926,16.42617487"
Hrušovany u Brna,Brno-venkov,Hrušovanech u Brna,"49.03865955,16.59429188"
Ivančice,Brno-venkov,Ivančicích,"49.10147785,16.37752920"
Lažánky,Brno-venkov,Lažánkách,"49.27897809,16.38808331"
Malešovice,Brno-venkov,Malešovicích,"49.02362481,16.50129425"
Mělčany,Brno-venkov,Mělčanech,"49.07617278,16.49220460"
Moravany,Brno-venkov,Moravanech,"49.14558849,16.57617675"
Nelepeč-Žernůvka,Brno-venkov,Nelepeči-Žernůvce,"49.34207696,16.37662774"
Nesvačilka,Brno-venkov,Nesvačilce,"49.06404861,16.75400676"
Podolí,Brno-venkov,Podolí,"49.19044917,16.72085974"
Pravlov,Brno-venkov,Pravlově,"49.05570972,16.48768936"
Přibyslavice,Brno-venkov,Přibyslavicích,"49.27863069,16.26635300"
Rajhrad,Brno-venkov,Rajhradě; Rajhradu,"49.09023895,16.60388639"
Rosice,Brno-venkov,Rosicích,"49.18235201,16.38788595"
Řícmanice,Brno-venkov,Řícmanicích,"49.25748947,16.69395812"
Říčany,Brno-venkov,Říčanech,"49.21500728,16.39363527"
Nekmíř,Plzeň-sever,Nekmíři,"49.85818801,13.26319574"
Nevřeň,Plzeň-sever,Nevřeni,"49.82292965,13.27492999"
Obora,Plzeň-sever,Oboře,"49.88956747,13.41366917"
Ostrov u Bezdružic,Plzeň-sever,Ostrově u Bezdružic,"49.90023718,13.04202908"
Rybnice,Plzeň-sever,Rybnici,"49.90843364,13.37379054"
Tis u Blatna,Plzeň-sever,Tisu u Blatna,"50.08583789,13.34786927"
Třemošná,Plzeň-sever,Třemošné,"49.81593888,13.39505141"
Úněšov,Plzeň-sever,Úněšově,"49.88268644,13.14924943"
Úterý,Plzeň-sever,Úterý,"49.94018031,13.00424220"
Všeruby,Plzeň-sever,Všerubech,"49.84177677,13.22948940"
Žihle,Plzeň-sever,Žihli,"50.04501232,13.37508936"
Břasy,Rokycany,Břasích; Břasech,"49.83709654,13.57838850"
Lhotka u Radnic,Rokycany,Lhotce u Radnic,"49.89002946,13.58166648"
Líšná,Rokycany,Líšné,"49.88509560,13.80647440"
Mýto,Rokycany,Mýtu; Mýtě,"49.78913822,13.73466873"
Radnice,Rokycany,Radnicích,"49.85686764,13.60576215"
Budyně,Strakonice,Budyni,"49.14638344,14.07117959"
Těně,Rokycany,Těních,"49.75128564,13.79621300"
Lažany,Strakonice,Lažanech,"49.36293374,13.88316413"
Veselá,Rokycany,Veselé,"49.69517236,13.60287536"
Zbiroh,Rokycany,Zbirohu; Zbiroze,"49.86033012,13.77267961"
Mutěnice,Strakonice,Mutěnicích,"49.23979476,13.89656141"
Bublava,Sokolov,Bublavě,"50.37450168,12.50525833"
Citice,Sokolov,Citicích,"50.16267762,12.61340116"
Chlum Svaté Maří,Sokolov,Chlumu Svaté Maří,"50.14995684,12.53572273"
Blažim,Louny,Blažimi,"50.40693699,13.62866081"
Štichov,Domažlice,Štichově,"49.58501851,13.04890459"
Kanice,Domažlice,Kanicích,"49.47511696,13.07273934"
Úboč,Domažlice,Úboči,"49.44369748,13.08691203"
Hradiště,Domažlice,Hradišti,"49.46487436,13.05176178"
Hříškov,Louny,Hříškově,"50.29142066,13.86433574"
Chlumčany,Louny,Chlumčanech,"50.33502577,13.84330301"
Vlkanov,Domažlice,Vlkanově,"49.48864359,12.80522010"
Hora Svatého Václava,Domažlice,Hoře Svatého Václava,"49.51899136,12.73988828"
Mnichov,Domažlice,Mnichově; Mnichovu,"49.49683513,12.76446099"
Hvožďany,Domažlice,Hvožďanech,"49.50568169,12.77131719"
Poděvousy,Domažlice,Poděvousích; Poděvousech,"49.52761526,13.13114670"
Pelechy,Domažlice,Pelechách; Peleších,"49.38913023,12.91400055"
Lipno,Louny,Lipně,"50.30068894,13.68094552"
Líté,Plzeň-sever,Lítém,"49.91374845,13.26080158"
Lubenec,Louny,Lubenci,"50.13217596,13.31326459"
Měcholupy,Louny,Měcholupech,"50.26675966,13.53745226"
Všehrdy,Plzeň-sever,Všehrdech,"49.96376965,13.58513425"
Ročov,Louny,Ročově,"50.25348294,13.77443654"
Vlčí,Plzeň-jih,Vlčí; Vlčím,"49.51198732,13.36028884"
Borovno,Plzeň-jih,Borovně,"49.62207481,13.69041951"
Smolnice,Louny,Smolnici,"50.30875765,13.84854575"
Holovousy,Plzeň-sever,Holovousích; Holovousech,"49.96796879,13.61477482"
Slatina,Plzeň-sever,Slatině,"49.98462309,13.63397228"
Bdeněves,Plzeň-sever,Bdeněvsi,"49.76963602,13.23523553"
Blažim,Plzeň-sever,Blažimi,"49.91602352,13.04767547"
Pastuchovice,Plzeň-sever,Pastuchovicích,"50.06907838,13.38228255"
Sokolnice,Brno-venkov,Sokolnicích,"49.11394537,16.72156971"
Stanoviště,Brno-venkov,Stanovišti,"49.23913249,16.25350982"
Šlapanice,Brno-venkov,Šlapanicích,"49.16865386,16.72732586"
Tišnov,Brno-venkov,Tišnově,"49.34874933,16.42440490"
Úsuší,Brno-venkov,Úsuší,"49.33477739,16.35600807"
Veverská Bítýška,Brno-venkov,Veverské Bítýšce,"49.27594422,16.43688469"
Vohančice,Brno-venkov,Vohančicích,"49.32162384,16.39387833"
Zakřany,Brno-venkov,Zakřanech,"49.17057461,16.32527105"
Železné,Brno-venkov,Železném,"49.35964822,16.45046968"
Diváky,Břeclav,Divácích; Divákách,"48.98871772,16.79176727"
Křepice,Břeclav,Křepicích,"48.99988696,16.71989190"
Milovice,Břeclav,Milovicích,"48.85251499,16.69813912"
Kuřimany,Strakonice,Kuřimanech,"49.20398501,13.96814794"
Kladruby,Strakonice,Kladrubech,"49.26880082,13.76348301"
Zhoř u Tábora,Tábor,Zhoři u Tábora,"49.35759188,14.65755073"
Krajková,Sokolov,Krajkové,"50.21608681,12.53415546"
Kraslice,Sokolov,Kraslicích,"50.32384259,12.51755615"
Hlasivo,Tábor,Hlasivu,"49.49852890,14.75035741"
Kynšperk nad Ohří,Sokolov,Kynšperku nad Ohří,"50.11904582,12.53034620"
Dolní Hrachovice,Tábor,Dolních Hrachovicích,"49.48614752,14.79713589"
Loket,Sokolov,Lokti; Loktu,"50.18611597,12.75412608"
Pohnánec,Tábor,Pohnánci,"49.47364750,14.80269733"
Nové Sedlo,Sokolov,Novém Sedle,"50.20658143,12.73808532"
Oloví,Sokolov,Oloví,"50.25125016,12.55884966"
Přebuz,Sokolov,Přebuzi,"50.36589508,12.62012891"
Rodná,Tábor,Rodné,"49.49022822,14.84253247"
Krátošice,Tábor,Krátošicích,"49.32595752,14.78673189"
Skrýchov u Malšic,Tábor,Skrýchově u Malšic,"49.33023965,14.59659147"
Cebiv,Tachov,Cebivi,"49.82944956,12.97912214"
Černošín,Tachov,Černošíně,"49.81624764,12.88387069"
Kladruby,Tachov,Kladrubech,"49.71540824,12.97996214"
Kšice,Tachov,Kšicích,"49.80252008,12.99731026"
Rosička,Jindřichův Hradec,Rosičce,"49.27966845,14.95396696"
Světce,Jindřichův Hradec,Světcích,"49.27061820,14.94142617"
