MUNICIPALITY,REGION,LOCATIVE
Daňkovice,Žďár nad Sázavou,Daňkovicích
Darkovice,Opava,Darkovicích
Daskabát,Olomouc,"Daskabátě,Daskabátu"
Dasnice,Sokolov,Dasnicích
Dasný,České Budějovice,Dasném
Dašice,Pardubice,Dašicích
Davle,Praha-západ,Davli
Deblín,Brno-venkov,Deblíně
Děčany,Litoměřice,Děčanech
Děčín,Děčín,"Děčíně,Děčínu"
Dědice,Třebíč,Dědicích
Dědová,Chrudim,Dědové
Dehtáře,Pelhřimov,Dehtářích
Děhylov,Opava,Děhylově
Děkanovice,Benešov,Děkanovicích
Děkov,Rakovník,Děkově
Děpoltovice,Karlovy Vary,Děpoltovicích
Desná,Jablonec nad Nisou,Desné
Dešenice,Klatovy,Dešenicích
Dešná,Zlín,Dešné
Dešov,Třebíč,Dešově
Deštná,Jindřichův Hradec,Deštné
Deštné v Orlických horách,Rychnov nad Kněžnou
Deštnice,Louny,Deštnici
Dětenice,Jičín,Dětenicích
Dětkovice,Prostějov,Dětkovicích
Dětmarovice,Karviná,Dětmarovicích
Dětřichov,Liberec,Dětřichově
Dětřichov nad Bystřicí,Bruntál,Dětřichově
Dětřichov u Moravské Třebové,Svitavy,Dětřichově
Dílce,Jičín,Dílcích
Díly,Domažlice,Dílech
Dírná,Tábor,Dírné
Diváky,Břeclav,"Divácích,Divákách"
Dívčí Hrad,Bruntál,"Dívčím Hradě,Dívčím Hradu"
Dívčí Kopy,Jindřichův Hradec,Dívčích Kopách
Dívčice,České Budějovice,Dívčicích
Divec,Hradec Králové,Divci
Divišov,Benešov,Divišově
Dlažkovice,Litoměřice,Dlažkovicích
Dlažov,Klatovy,Dlažově
Dlouhá Brtnice,Jihlava,Dlouhé Brtnici
Dlouhá Lhota,Tábor,Dlouhé Lhotě
Dlouhá Loučka,Olomouc,Dlouhé Loučce
Dlouhá Stráň,Bruntál,Dlouhé Stráni
Dlouhá Třebová,Ústí nad Orlicí,Dlouhé Třebové
Dlouhá Ves,Klatovy,Dlouhé Vsi
Dlouhé,Žďár nad Sázavou,Dlouhém
Dlouhomilov,Šumperk,Dlouhomilově
Dlouhoňovice,Ústí nad Orlicí,Dlouhoňovicích
Dlouhopolsko,Nymburk,Dlouhopolsku
Dlouhý Most,Liberec,Dlouhém Mostě
Dlouhý Újezd,Tachov,"Dlouhém Újezdě,Dlouhém Újezdu"
Dnešice,Plzeň-jih,Dnešicích
Dobelice,Znojmo,Dobelicích
Dobev,Písek,Dobevi
Dobkovice,Děčín,Dobkovicích
Dobrá,Frýdek-Místek,Dobré
Dobrá Voda,Pelhřimov,Dobré Vodě
Dobrá Voda u Českých Budějovic,České Budějovice,Dobré Vodě
Dobrá Voda u Hořic,Jičín,Dobré Vodě
Dobrá Voda u Pacova,Pelhřimov,Dobré Vodě
Dobratice,Frýdek-Místek,Dobraticích
Dobrčice,Přerov,Dobrčicích
Dobré,Rychnov nad Kněžnou,Dobrém
Dobré Pole,Břeclav,Dobrém Poli
Dobrkovice,Zlín,Dobrkovicích
Dobrná,Děčín,Dobrné
Dobročkovice,Vyškov,Dobročkovicích
Dobročovice,Praha-východ,Dobročovicích
Dobrohošť,Jindřichův Hradec,Dobrohošti
Dobrochov,Prostějov,Dobrochově
Dobroměřice,Louny,Dobroměřicích
Dobromilice,Prostějov,Dobromilicích
Dobronice u Bechyně,Tábor,Dobronicích
Dobronín,Jihlava,Dobroníně
Dobroslavice,Opava,Dobroslavicích
Dobroutov,Jihlava,Dobroutově
Dobrovice,Mladá Boleslav,Dobrovici
Dobrovítov,Kutná Hora,Dobrovítově
Dobrovíz,Praha-západ,Dobrovízi
Dobršín,Klatovy,Dobršíně
Dobruška,Rychnov nad Kněžnou,Dobrušce
Dobřany,Plzeň-jih,Dobřanech
Dobřejovice,Praha-východ,Dobřejovicích
Dobřeň,Mělník,Dobřeni
Dobřenice,Hradec Králové,Dobřenicích
Dobříč,Praha-západ,Dobříči
Dobřichov,Kolín,Dobřichově
Dobřichovice,Praha-západ,Dobřichovicích
Dobříkov,Ústí nad Orlicí,Dobříkově
Dobříň,Litoměřice,Dobříni
Dobřínsko,Znojmo,Dobřínsku
Dobříš,Příbram,Dobříši
Dobřív,Rokycany,Dobřívě
Dobšice,České Budějovice,Dobšicích
Dobšín,Mladá Boleslav,Dobšíně
Dohalice,Hradec Králové,Dohalicích
Doksany,Litoměřice,Doksanech
Doksy,Česká Lípa,"Doksech,Doksích"
Dolánky nad Ohří,Litoměřice,Dolánkách
Dolany,Kladno,Dolanech
Dolce,Plzeň-jih,Dolcích
Dolenice,Znojmo,Dolenicích
Dolní Bečva,Vsetín,Dolní Bečvě
Dolní Bělá,Plzeň-sever,Dolní Bělé
Dolní Benešov,Opava,Dolním Benešově
Dolní Beřkovice,Mělník,Dolních Beřkovicích
Dolní Bezděkov,Chrudim,Dolním Bezděkově
Dolní Bojanovice,Hodonín,Dolních Bojanovicích
Dolní Bousov,Mladá Boleslav,Dolním Bousově
Dolní Branná,Trutnov,Dolní Branné
Dolní Brusnice,Trutnov,Dolní Brusnici
Dolní Břežany,Praha-západ,Dolních Břežanech
Dolní Bukovsko,České Budějovice,Dolním Bukovsku
Dolní Cerekev,Jihlava,Dolní Cerekvi
Dolní Čermná,Ústí nad Orlicí,Dolní Čermné
Dolní Dobrouč,Ústí nad Orlicí,Dolní Dobrouči
Dolní Domaslavice,Frýdek-Místek,Dolních Domaslavicích
Dolní Dubňany,Znojmo,Dolních Dubňanech
Dolní Dunajovice,Břeclav,Dolních Dunajovicích
Dolní Dvořiště,Český Krumlov,Dolním Dvořišti
Dolní Dvůr,Trutnov,"Dolním Dvoře,Dolním Dvoru"
Dolní Habartice,Děčín,Dolních Habarticích
Dolní Hbity,Příbram,Dolních Hbitech
Dolní Heřmanice,Žďár nad Sázavou,Dolních Heřmanicích
Dolní Hořice,Tábor,Dolních Hořicích
Dolní Hradiště,Plzeň-sever,Dolním Hradišti
Dolní Hrachovice,Tábor,Dolních Hrachovicích
Dolní Chvatliny,Kolín,Dolních Chvatlinách
Dolní Kalná,Trutnov,Dolní Kalné
Dolní Kounice,Brno-venkov,Dolních Kounicích
Dolní Kralovice,Benešov,Dolních Kralovicích
Dolní Krupá,Mladá Boleslav,Dolní Krupé
Dolní Lánov,Trutnov,Dolním Lánově
Dolní Lažany,Třebíč,Dolních Lažanech
Dolní Lhota,Zlín,Dolní Lhotě
Dolní Libochová,Žďár nad Sázavou,Dolní Libochové
Dolní Lochov,Jičín,Dolním Lochově
Dolní Lomná,Frýdek-Místek,Dolní Lomné
Dolní Loučky,Brno-venkov,Dolních Loučkách
Dolní Lukavice,Plzeň-jih,Dolní Lukavici
Dolní Lutyně,Karviná,Dolní Lutyni
Dolní Město,Havlíčkův Brod,"Dolním Městě,Dolním Městu"
Dolní Morava,Ústí nad Orlicí,Dolní Moravě
Dolní Moravice,Bruntál,Dolní Moravici
Dolní Němčí,Uherské Hradiště,Dolním Němčí
Dolní Nětčice,Přerov,Dolních Nětčicích
Dolní Nivy,Sokolov,Dolních Nivách
Dolní Novosedly,Písek,"Dolních Novosedlech,Dolních Novosedlích"
Dolní Olešnice,Trutnov,Dolní Olešnici
Dolní Pěna,Jindřichův Hradec,Dolní Pěně
Dolní Podluží,Děčín,Dolním Podluží
Dolní Pohleď,Kutná Hora,Dolní Pohledi
Dolní Poustevna,Děčín,Dolní Poustevně
Dolní Přím,Hradec Králové,Dolním Přímu
Dolní Radechová,Náchod,Dolní Radechové
Dolní Roveň,Pardubice,Dolní Rovni
Dolní Rožínka,Žďár nad Sázavou,Dolní Rožínce
Dolní Rychnov,Sokolov,Dolním Rychnově
Dolní Řasnice,Liberec,Dolní Řasnici
Dolní Ředice,Pardubice,Dolních Ředicích
Dolní Slivno,Mladá Boleslav,"Dolním Slivně,Dolním Slivnu"
Dolní Sokolovec,Havlíčkův Brod,Dolním Sokolovci
Dolní Stakory,Mladá Boleslav,Dolních Stakorech
Dolní Studénky,Šumperk,Dolních Studénkách
Dolní Těšice,Přerov,Dolních Těšicích
Dolní Tošanovice,Frýdek-Místek,Dolních Tošanovicích
Dolní Třebonín,Český Krumlov,Dolním Třeboníně
Dolní Újezd,Přerov,"Dolním Újezdu,Dolním Újezdě"
Dolní Věstonice,Břeclav,Dolních Věstonicích
Dolní Vilémovice,Třebíč,Dolních Vilémovicích
Dolní Vilímeč,Jihlava,Dolní Vilímči
Dolní Zálezly,Ústí nad Labem,Dolních Zálezlech
Dolní Zimoř,Mělník,Dolní Zimoři
Dolní Žandov,Cheb,Dolním Žandově
Dolní Žďár,Jindřichův Hradec,"Dolním Žďáru,Dolním Žďáře"
Dolní Životice,Opava,Dolních Životicích
Doloplazy,Olomouc,Doloplazech
Domamil,Třebíč,Domamili
Domanín,Jindřichův Hradec,Domaníně
Dománovice,Kolín,Dománovicích
Domašín,Chomutov,Domašíně
Domašov,Brno-venkov,Domašově
Domašov nad Bystřicí,Olomouc,Domašově
Domašov u Šternberka,Olomouc,Domašově
Domaželice,Přerov,Domaželicích
Domažlice,Domažlice,Domažlicích
Domoraz,Klatovy,Domorazu
Domousnice,Mladá Boleslav,Domousnicích
Domoušice,Louny,Domoušicích
Doňov,Jindřichův Hradec,Doňově
Doubek,Praha-východ,Doubku
Doubice,Děčín,Doubici
Doubrava,Karviná,Doubravě
Doubravčice,Kolín,Doubravčicích
Doubravice,České Budějovice,Doubravici
Doubravice nad Svitavou,Blansko,Doubravici
Doubravička,Mladá Boleslav,Doubravičce
Doubravník,Brno-venkov,Doubravníku
Doubravy,Zlín,Doubravách
Doudleby,České Budějovice,"Doudlebech,Doudlebách,Doudlebích"
Doudleby nad Orlicí,Rychnov nad Kněžnou,"Doudlebech,Doudlebách,Doudlebích"
Doupě,Jihlava,Doupěti
Drahanovice,Olomouc,Drahanovicích
Drahany,Prostějov,Drahanech
Drahelčice,Praha-západ,Drahelčicích
Drahenice,Příbram,Drahenicích
Drahkov,Plzeň-jih,Drahkově
Drahlín,Příbram,Drahlíně
Drahňovice,Benešov,Drahňovicích
Drahobudice,Kolín,Drahobudicích
Drahobuz,Litoměřice,Drahobuzi
Drahonice,Strakonice,Drahonicích
Drahonín,Brno-venkov,Drahoníně
Drahoňův Újezd,Rokycany,"Drahoňově Újezdě,Drahoňově Újezdu"
Drahotěšice,České Budějovice,Drahotěšicích
Drahotín,Domažlice,Drahotíně
Drahouš,Rakovník,Drahouši
Drahov,Tábor,Drahově
Drachkov,Strakonice,Drachkově
Dráchov,Tábor,Dráchově
Drásov,Příbram,Drásově
Dražeň,Plzeň-sever,Dražni
Draženov,Domažlice,Draženově
Dražice,Tábor,Dražicích
Dražíč,České Budějovice,Dražíči
Dražičky,Tábor,Dražičkách
Drážov,Strakonice,Drážově
Dražovice,Klatovy,Dražovicích
Dražůvky,Hodonín,Dražůvkách
Drevníky,Příbram,Drevníkách
Drhovice,Tábor,Drhovicích
Drhovle,Písek,Drhovli
Drhovy,Příbram,Drhovech
Drmoul,Cheb,"Drmoulu,Drmoule"
Drnek,Kladno,Drnku
Drnholec,Břeclav,Drnholci
Drnovice,Zlín,Drnovicích
Drobovice,Kutná Hora,Drobovicích
Droužetice,Strakonice,Droužeticích
Droužkovice,Chomutov,Droužkovicích
Drozdov,Beroun,Drozdově
Drslavice,Uherské Hradiště,Drslavicích
Druhanov,Havlíčkův Brod,Druhanově
Drunče,Jindřichův Hradec,Drunči
Druztová,Plzeň-sever,Druztové
Družec,Kladno,Družci
Drysice,Vyškov,Drysicích
Držkov,Jablonec nad Nisou,Držkově
Držková,Zlín,Držkové
Držovice,Prostějov
Dřenice,Chrudim,Dřenicích
Dřešín,Strakonice,Dřešíně
Dřetovice,Kladno,Dřetovicích
Dřevčice,Praha-východ,Dřevčicích
Dřevěnice,Jičín,Dřevěnici
Dřevnovice,Prostějov,Dřevnovicích
Dřevohostice,Přerov,Dřevohosticích
Dřínov,Kroměříž,Dřínově
Dřísy,Praha-východ,Dřísech
Dříteč,Pardubice,Dřítči
Dříteň,České Budějovice,Dřítni
Dub,Prachatice,"Dubu,Dubě"
Dub nad Moravou,Olomouc,"Dubu,Dubě"
Dubá,Česká Lípa,Dubé
Dubany,Pardubice,Dubanech
Dubčany,Olomouc,Dubčanech
Dubenec,Příbram,Dubenci
Dubí,Teplice,Dubí
Dubicko,Šumperk,Dubicku
Dubičné,České Budějovice,Dubičném
Dublovice,Příbram,Dublovicích
Dubňany,Hodonín,Dubňanech
Dubné,České Budějovice,Dubném
Dubnice,Česká Lípa,Dubnici
Dubno,Příbram,"Dubně,Dubnu"
Dubovice,Pelhřimov,Dubovicích
Dudín,Jihlava,Dudíně
Duchcov,Teplice,Duchcově
Dukovany,Třebíč,Dukovanech
Důl,Pelhřimov,"Dole,Dolu"
Dunajovice,Jindřichův Hradec,Dunajovicích
Dunice,Benešov,Dunicích
Dušejov,Jihlava,Dušejově
Dušníky,Litoměřice,Dušníkách
Dvakačovice,Chrudim,Dvakačovicích
Dvorce,Bruntál,Dvorcích
Dvory,Prachatice,Dvorech
Dvory nad Lužnicí,Jindřichův Hradec,Dvorech
Dvůr Králové nad Labem,Trutnov
Dyjákovice,Znojmo,Dyjákovicích
Dyjákovičky,Znojmo,Dyjákovičkách
Dyje,Znojmo,Dyji
Dyjice,Jihlava,Dyjici
Dymokury,Nymburk,Dymokurech
Dynín,České Budějovice,Dyníně
Dýšina,Plzeň,Dýšině
Dzbel,Prostějov,Dzbelu
Džbánice,Znojmo,Džbánicích
Džbánov,Ústí nad Orlicí,Džbánově
Ejpovice,Rokycany,Ejpovicích
Erpužice,Tachov,Erpužicích
Eš,Pelhřimov,Eši
Evaň,Litoměřice,Evani
Felbabka,Beroun,Felbabce
Frahelž,Jindřichův Hradec,Frahelži
Francova Lhota,Vsetín,Francově Lhotě
Františkov nad Ploučnicí,Děčín,Františkově
Františkovy Lázně,Cheb,Františkových Lázních
Frenštát pod Radhoštěm,Nový Jičín,"Frenštátě,Frenštátu"
Fryčovice,Frýdek-Místek,Fryčovicích
Frýdek-Místek,Frýdek-Místek,Frýdku-Místku
Frýdlant,Liberec,"Frýdlantě,Frýdlantu"
Frýdlant nad Ostravicí,Frýdek-Místek,"Frýdlantě,Frýdlantu"
Frýdštejn,Jablonec nad Nisou,"Frýdštejně,Frýdštejnu"
Frymburk,Český Krumlov,"Frymburku,Frymburce"
Fryšava pod Žákovou horou,Žďár nad Sázavou,Fryšavě
Fryšták,Zlín,Fryštáku
Fulnek,Nový Jičín,Fulneku
Golčův Jeníkov,Havlíčkův Brod,Golčově Jeníkově
Grešlové Mýto,Znojmo,"Grešlovém Mýtě,Grešlovém Mýtu"
Gruna,Svitavy,Gruně
Grunta,Kolín,Gruntě
Grygov,Olomouc,Grygově
Grymov,Přerov,Grymově
Habartice,Liberec,Habarticích
Habartov,Sokolov,Habartově
Habrovany,Vyškov,Habrovanech
Habrůvka,Blansko,Habrůvce
Habry,Havlíčkův Brod,Habrech
Habří,České Budějovice,Habří
Habřina,Hradec Králové,Habřině
Hačky,Prostějov,Hačkách
Hadravova Rosička,Jindřichův Hradec,Hadravově Rosičce
Háj u Duchcova,Teplice,Háji
Háj ve Slezsku,Opava
Hajany,Strakonice,Hajanech
Bojanovice,Znojmo,Bojanovicích
Borek,Praha-východ,Borku
Borek,Havlíčkův Brod,Borku
Borek,Jičín,Borku
Borek,Pardubice,Borku
Borotice,Znojmo,Boroticích
Borotín,Blansko,Borotíně
Borová,Svitavy,Borové
Borovany,Písek,Borovanech
Borovnice,Benešov,Borovnici
Borovnice,Žďár nad Sázavou,Borovnici
Borovnice,Rychnov nad Kněžnou,Borovnici
Borovnice,Trutnov,Borovnici
Bořetice,Pelhřimov,Bořeticích
Bořetín,Pelhřimov,Bořetíně
Bratčice,Brno-venkov,Bratčicích
Bratronice,Kladno,Bratronicích
Brloh,Pardubice,"Brloze,Brlohu"
Brodec,Louny,Brodci
Brodek u Konice,Prostějov,
Broumov,Náchod,Broumově
Brumovice,Břeclav,Brumovicích
Březí,Praha-východ,Březí
Březí,Břeclav,Březí
Březí,Žďár nad Sázavou,Březí
Březina,Mladá Boleslav,Březině
Březina,Rokycany,Březině
Březina,Brno-venkov,Březině
Březina,Vyškov,Březině
Březina,Jičín,Březině
Březina,Svitavy,Březině
Březnice,Tábor,Březnici
Březnice,Příbram,Březnici
Březno,Chomutov,Březně
Březová,Uherské Hradiště,Březové
Březová,Karlovy Vary,Březové
Březová,Sokolov,Březové
Březová,Beroun,Březové
Březová,Opava,Březové
Břežany,Klatovy,Břežanech
Břežany,Znojmo,Břežanech
Budeč,Žďár nad Sázavou,Budči
Budětsko,Prostějov,Budětsku
Budislav,Svitavy,Budislavi
Budíškovice,Jindřichův Hradec,Budíškovicích
Budišov,Třebíč,Budišově
Budkov,Třebíč,Budkově
Buk,Přerov,Buku
Buková,Prostějov,Bukové
Bukovany,Benešov,Bukovanech
Bukovany,Příbram,Bukovanech
Bukovany,Olomouc,Bukovanech
Bukovany,Hodonín,Bukovanech
Bukovec,Domažlice,Bukovci
Bukovice,Náchod,Bukovici
Bystré,Svitavy,Bystrém
Bystřice,Frýdek-Místek,Bystřici
Bystřice,Jičín,Bystřici
Církvice,Kolín,"Církvici,Církvicích"
Citonice,Znojmo,Citonicích
Citov,Přerov,Citově
Ctiboř,Tachov,Ctiboři
Cvrčovice,Brno-venkov,Cvrčovicích
Čakov,Benešov,Čakově
Částkov,Tachov,Částkově
Čejkovice,Kutná Hora,Čejkovicích
Čejkovice,Hodonín,Čejkovicích
Čejkovice,Znojmo,Čejkovicích
Čermná,Trutnov,Čermné
Černčice,Náchod,Černčicích
Černíkovice,Rychnov nad Kněžnou,Černíkovicích
Černovice,Blansko,Černovicích
Černovice,Chomutov,Černovicích
Černovice,Pelhřimov,Černovicích
Červený Újezd,Praha-západ,"Červeném Újezdě, Červeném Újezdu"
Čestice,Rychnov nad Kněžnou,Česticích
Číměř,Třebíč,Číměři
Čistá,Rakovník,Čisté
Čistá,Svitavy,Čisté
Čížkov,Pelhřimov,Čížkově
Dalešice,Třebíč,Dalešicích
Dalovice,Karlovy Vary,Dalovicích
Dalovice,Mladá Boleslav,Dalovicích
Desná,Svitavy,Desné
Dešná,Jindřichův Hradec,Dešné
Deštná,Blansko,Deštné
Dětkovice,Vyškov,Dětkovicích
Dětřichov,Svitavy,Dětřichově
Dlouhá Lhota,Příbram,Dlouhé Lhotě
Dlouhá Lhota,Mladá Boleslav,Dlouhé Lhotě
Dlouhá Lhota,Blansko,Dlouhé Lhotě
Dlouhá Loučka,Svitavy,Dlouhé Loučce
Dlouhá Ves,Havlíčkův Brod,Dlouhé Vsi
Dobrá Voda,Žďár nad Sázavou,Dobré Vodě
Dobřany,Rychnov nad Kněžnou,Dobřanech
Dobříč,Plzeň-sever,Dobříči
Dobšice,Nymburk,Dobšicích
Dobšice,Znojmo,Dobšicích
Doksy,Kladno,"Doksech, Doksích"
Dolany,Mělník,Dolanech
Dolany,Klatovy,Dolanech
Dolany,Plzeň-sever,Dolanech
Dolany,Olomouc,Dolanech
Dolany,Náchod,Dolanech
Dolany,Pardubice,Dolanech
Dolní Krupá,Havlíčkův Brod,Dolní Krupé
Dolní Lhota,Ostrava,Dolní Lhotě
Dolní Újezd,Svitavy,"Dolním Újezdu, Dolním Újezdě"
Doloplazy,Prostějov,Doloplazech
Domanín,Hodonín,Domaníně
Doubravice,Strakonice,Doubravici
Doubravice,Trutnov,Doubravici
Drásov,Brno-venkov,Drásově
Dražovice,Vyškov,Dražovicích
Drnovice,Blansko,Drnovicích
Drnovice,Vyškov,Drnovicích
Drozdov,Šumperk,Drozdově
Drslavice,Prachatice,Drslavicích
