MUNICIPALITY,REGION,LOCATIVE
Bílý Kostel nad Nisou,Liberec,Bílém Kostele
Bílý Potok,Liberec,"Bílém Potoce,Bílém Potoku"
Bílý Újezd,Rychnov nad Kněžnou,"Bílém Újezdě,Bílém Újezdu"
Biřkov,Klatovy,Biřkově
Biskoupky,Brno-venkov,Biskoupkách
Biskupice,Zlín,Biskupicích
Biskupice,Prostějov,Biskupicích
Biskupice,Svitavy,Biskupicích
Biskupice,Chrudim,Biskupicích
Biskupice-Pulkov,Třebíč,Biskupicích-Pulkově
Bítouchov,Mladá Boleslav,Bítouchově
Bítov,Nový Jičín,Bítově
Bítov,Znojmo,Bítově
Bítovany,Chrudim,Bítovanech
Bítovčice,Jihlava,Bítovčicích
Bitozeves,Louny,Bitozevsi
Blanné,Znojmo,Blanném
Blansko,Blansko,Blansku
Blatce,Česká Lípa,Blatcích
Blatec,Olomouc,Blatci
Blatná,Strakonice,Blatné
Blatnice,Plzeň-sever,Blatnici
Blatnice,Třebíč,Blatnici
Blatnice pod Svatým Antonínkem,Hodonín,Blatnici
Blatnička,Hodonín,Blatničce
Blatno,Chomutov,Blatně
Blatno,Louny,Blatně
Blazice,Kroměříž,Blazicích
Blažejov,Jindřichův Hradec,Blažejově
Blažejovice,Benešov,Blažejovicích
Blažim,Plzeň-sever,Blažimi
Blažim,Louny,Blažimi
Blažkov,Žďár nad Sázavou,Blažkově
Blažovice,Brno-venkov,Blažovicích
Blešno,Hradec Králové,Blešně
Blevice,Kladno,Blevicích
Blízkov,Žďár nad Sázavou,Blízkově
Blížejov,Domažlice,Blížejově
Blíževedly,Česká Lípa,"Blíževedlech,Blíževedlích"
Blížkovice,Znojmo,Blížkovicích
Blovice,Plzeň-jih,Blovicích
Blšany,Louny,Blšanech
Blšany u Loun,Louny,Blšanech
Blučina,Brno-venkov,Blučině
Bludov,Kutná Hora,Bludově
Bludov,Šumperk,Bludově
Bobnice,Nymburk,Bobnicích
Bobrová,Žďár nad Sázavou,Bobrové
Bobrůvka,Žďár nad Sázavou,Bobrůvce
Bocanovice,Frýdek-Místek,Bocanovicích
Boháňka,Jičín,Boháňce
Boharyně,Hradec Králové,Boharyni
Bohaté Málkovice,Vyškov,Bohatých Málkovicích
Bohatice,Česká Lípa,Bohaticích
Bohdalec,Žďár nad Sázavou,Bohdalci
